RECORDING_SESSION_LABEL;TRIAL_INDEX;CURRENT_FIX_DURATION;CURRENT_FIX_INDEX;CURRENT_FIX_INTEREST_AREAS;CURRENT_FIX_START;TRIAL_FIXATION_TOTAL;TRIAL_LABEL;VIDEO_NAME_END;VIDEO_NAME_START;video_clip;ROIfundo;ROIfrente
adam;8;3449;2;[ ];632;12;Trial: 8;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;D4.avi;;
adam;8;132;3;[ ];4344;12;Trial: 8;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;D4.avi;;
adam;8;88;4;[ ];4514;12;Trial: 8;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;D4.avi;;
adam;8;942;5;[ ];4737;12;Trial: 8;D4.avi;EstrelinhasR640x680.avi;D4.avi;;
adam;8;397;6;[ ];5712;12;Trial: 8;D4.avi;D4.avi;D4.avi;;
adam;8;306;7;[ ];6144;12;Trial: 8;D4.avi;D4.avi;D4.avi;;
adam;8;208;8;[ ];6477;12;Trial: 8;D4.avi;D4.avi;D4.avi;;
adam;8;405;9;[ ];6700;12;Trial: 8;D4.avi;D4.avi;D4.avi;;
adam;8;1633;10;[ ];7149;12;Trial: 8;D4.avi;D4.avi;D4.avi;;
adam;8;182;11;[ ];9207;12;Trial: 8;D4.avi;D4.avi;D4.avi;;
adam;8;1351;12;[ ];9778;12;Trial: 8;D4.avi;D4.avi;D4.avi;;
adam;9;110;1;[ ];7;10;Trial: 9;EstrelinhasR640x680.avi;.;D5.avi;;
adam;9;557;2;[ ];134;10;Trial: 9;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;D5.avi;;
adam;9;558;3;[ ];729;10;Trial: 9;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;D5.avi;;
adam;9;908;4;[ ];1297;10;Trial: 9;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;D5.avi;;
adam;9;2059;5;[ ];3461;10;Trial: 9;D5.avi;EstrelinhasR640x680.avi;D5.avi;;
adam;9;1041;6;[ ];5534;10;Trial: 9;D5.avi;D5.avi;D5.avi;;
adam;9;122;7;[ ];6676;10;Trial: 9;D5.avi;D5.avi;D5.avi;;
adam;9;308;8;[ ];6840;10;Trial: 9;D5.avi;D5.avi;D5.avi;;
adam;9;1144;9;[ ];7162;10;Trial: 9;D5.avi;D5.avi;D5.avi;;
adam;9;2806;10;[ ];8313;10;Trial: 9;D5.avi;D5.avi;D5.avi;;
adam;10;224;1;[ ];9;7;Trial: 10;EstrelinhasR640x680.avi;.;D7.avi;;
adam;10;386;2;[ ];255;7;Trial: 10;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;D7.avi;;
adam;10;3293;3;[ ];686;7;Trial: 10;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;D7.avi;;
adam;10;578;4;[ ];4023;7;Trial: 10;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;D7.avi;;
adam;10;712;5;[ ];4650;7;Trial: 10;D7.avi;EstrelinhasR640x680.avi;D7.avi;;
adam;10;2818;6;[ ];5376;7;Trial: 10;D7.avi;D7.avi;D7.avi;;
adam;10;608;7;[ ];8200;7;Trial: 10;D7.avi;D7.avi;D7.avi;;
adam;11;368;1;[ 4];125;9;Trial: 11;A1.avi;EstrelinhasR640x680.avi;A1.avi;4;7
adam;11;586;2;[ ];531;9;Trial: 11;A1.avi;A1.avi;A1.avi;;
adam;11;143;3;[ 2];4178;9;Trial: 11;A1.avi;A1.avi;A1.avi;2;
adam;11;129;4;[ 4];4327;9;Trial: 11;A1.avi;A1.avi;A1.avi;4;
adam;11;147;5;[ 6];4507;9;Trial: 11;A1.avi;A1.avi;A1.avi;6;
adam;11;60;6;[ 6];4707;9;Trial: 11;A1.avi;A1.avi;A1.avi;6;
adam;11;562;7;[ 4];5551;9;Trial: 11;A1.avi;A1.avi;A1.avi;4;
adam;11;297;8;[ 4];6133;9;Trial: 11;A1.avi;A1.avi;A1.avi;4;
adam;11;35;9;[ 2];6444;9;Trial: 11;A1.avi;A1.avi;A1.avi;2;
adam;12;99;1;[ ];23;13;Trial: 12;EstrelinhasR640x680.avi;.;A2.avi;;
adam;12;54;2;[ ];248;13;Trial: 12;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A2.avi;;
adam;12;197;3;[ ];465;13;Trial: 12;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A2.avi;;
adam;12;76;4;[ ];764;13;Trial: 12;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A2.avi;;
adam;12;222;5;[ ];944;13;Trial: 12;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A2.avi;;
adam;12;380;6;[ ];1263;13;Trial: 12;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A2.avi;;
adam;12;1942;7;[ ];1659;13;Trial: 12;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A2.avi;;
adam;12;4062;8;[ ];3615;13;Trial: 12;A2.avi;EstrelinhasR640x680.avi;A2.avi;;
adam;12;1312;9;[ ];7692;13;Trial: 12;A2.avi;A2.avi;A2.avi;;
adam;12;760;10;[ ];9015;13;Trial: 12;A2.avi;A2.avi;A2.avi;;
adam;12;431;11;[ ];9815;13;Trial: 12;A2.avi;A2.avi;A2.avi;;
adam;12;307;12;[ ];10270;13;Trial: 12;A2.avi;A2.avi;A2.avi;;
adam;12;512;13;[ 4];10601;13;Trial: 12;A2.avi;A2.avi;A2.avi;4;
adam;13;157;1;[ ];5781;10;Trial: 13;A3.avi;A3.avi;A3.avi;;
adam;13;221;2;[ ];5971;10;Trial: 13;A3.avi;A3.avi;A3.avi;;
adam;13;492;3;[ 4];6223;10;Trial: 13;A3.avi;A3.avi;A3.avi;4;
