"","crianca","video","frente","fundo","errado"
"195","edu.2","A6",1,0,0
"196","edu.2","B1",0,1,1
"197","edu.2","B2",1,0,0
"198","edu.2","B5",1,1,1
"199","edu.2","B6",0,1,1
"200","edu.2","B7",0,1,1
"201","edu.2","D1",0,1,1
"202","edu.2","D2",1,1,1
"203","edu.2","D7",0,1,1
"204","emanuela","A1",0,1,1
"205","emanuela","A2",0,1,1
"206","emanuela","A3",0,1,1
"207","emanuela","A4",0,1,1
"208","emanuela","A6",1,0,0
"209","emanuela","B1",0,1,1
"210","emanuela","B2",1,1,1
"211","emanuela","B5",1,1,1
"212","emanuela","B6",0,1,1
"213","emanuela","B7",0,1,1
"214","emanuela","D1",1,1,1
"215","emanuela","D2",1,1,1
"216","emanuela","D5",1,1,1
"217","emanuela","D7",0,1,1
"218","emanuele","A1",0,1,1
"219","emanuele","A2",1,1,1
"220","emanuele","A3",0,1,1
"221","emanuele","A4",0,1,1
"222","emanuele","A6",1,0,0
"223","emanuele","B1",0,1,1
"224","emanuele","B2",1,1,1
"225","emanuele","B5",1,1,1
"226","emanuele","B6",1,1,1
"227","emanuele","B7",0,1,1
"228","emanuele","D1",0,1,1
"229","emanuele","D2",1,1,1
"230","emanuele","D5",1,1,1
"231","emanuele","D7",0,1,1
"232","ernesto","A1",0,1,1
"233","ernesto","A2",1,1,1
"234","ernesto","A3",0,1,1
"235","ernesto","A4",0,1,1
"236","ernesto","A6",1,0,0
"237","ernesto","B1",0,1,1
"238","ernesto","B2",1,1,1
"239","ernesto","B5",1,1,1
"240","ernesto","B6",0,1,1
"241","ernesto","B7",0,1,1
"242","ernesto","D2",1,1,1
"243","ernesto","D4",0,1,1
"244","ernesto","D5",1,1,1
"245","ernesto","D7",0,1,1
"246","everton","A1",1,1,1
"247","everton","A2",0,1,1
"248","everton","A3",0,1,1
"249","everton","A4",0,1,1
"250","everton","A6",1,1,1
"251","everton","B1",0,1,1
"252","everton","B2",1,1,1
"253","everton","B5",1,1,1
"254","everton","B6",0,1,1
"255","everton","B7",0,1,1
"256","everton","D1",1,1,1
"257","everton","D2",1,1,1
"258","everton","D4",0,1,1
"259","everton","D5",1,1,1
"260","everton","D7",0,1,1
"261","felipe","A3",0,0,0
"262","felipe","A4",0,0,0
"263","felipe","A6",0,0,0
"264","felipe","B1",0,0,0
"265","felipe","B2",0,0,0
"266","felipe","B5",0,0,0
"267","felipe","B6",0,0,0
"268","felipe","B7",0,0,0
"269","felipe","D1",0,0,0
"270","felipe","D5",0,0,0
"271","felipe","D7",0,0,0
"272","fidel","A1",0,1,1
"273","fidel","A2",0,1,1
"274","fidel","A3",0,1,1
"275","fidel","A6",1,1,1
"276","fidel","B1",0,1,1
"277","fidel","B2",1,1,1
"278","fidel","B5",1,1,1
"279","fidel","B6",0,1,1
"280","fidel","B7",1,1,1
"281","fidel","D1",0,0,0
"282","fidel","D2",1,1,1
"283","fidel","D4",0,1,1
"284","fidel","D5",1,1,1
"285","fidel","D7",0,1,1
"286","franc","A1",0,1,1
"287","franc","A3",0,1,1
"288","franc","A6",1,0,0
"289","franc","B1",0,1,1
"290","franc","B2",1,1,1
"291","franc","B5",0,1,1
"292","franc","B6",1,1,1
"293","franc","B7",1,1,1
"294","franc","D1",0,1,1
"295","franc","D2",1,0,0
"296","franc","D4",0,1,1
"297","franc","D5",0,1,1
"298","franc","D7",0,1,1
"299","gabi21t","A1",0,0,0
"300","gabi21t","A2",0,1,1
"301","gabi21t","A3",0,0,0
"302","gabi21t","A4",0,0,0
"303","gabi21t","A6",0,0,0
"304","gabi21t","B1",0,0,0
"305","gabi21t","B2",0,0,0
"306","gabi21t","B5",0,0,0
"307","gabi21t","B6",0,1,1
"308","gabi21t","B7",0,0,0
"309","gabi21t","D1",0,0,0
"310","gabi21t","D2",0,0,0
"311","gabi21t","D7",0,0,0
"312","gabif.2","A1",0,1,1
"313","gabif.2","A3",0,1,1
"314","gabif.2","A4",0,1,1
"315","gabif.2","A6",1,0,0
"316","gabif.2","B1",0,1,1
"317","gabif.2","B2",1,1,1
"318","gabif.2","B5",1,1,1
"319","gabif.2","B6",0,1,1
"320","gabif.2","B7",1,1,1
"321","gabif.2","D1",0,1,1
"322","gabif.2","D2",1,1,1
"323","gabif.2","D4",0,1,1
"324","gabif.2","D7",0,1,1
"325","gabrielaf","A3",0,1,1
"326","gabrielaf","B1",0,0,0
"327","gabrielaf","D7",0,1,1
"328","gui","A1",0,1,1
"329","gui","A2",0,1,1
"330","gui","A3",0,1,1
"331","gui","A4",1,1,1
"332","gui","A6",0,1,1
"333","gui","B1",0,0,0
"334","gui","B2",1,1,1
"335","gui","B5",1,1,1
"336","gui","B6",0,1,1
"337","gui","B7",1,1,1
"338","gui","D1",0,1,1
"339","gui","D2",1,1,1
"340","gui","D4",0,1,1
"341","gui","D5",1,1,1
"342","gui","D7",0,1,1
"343","gui.2","A1",0,1,1
"344","gui.2","A2",0,0,0
"345","gui.2","A3",0,1,1
"346","gui.2","A4",0,1,1
"347","gui.2","A6",0,1,1
"348","gui.2","B1",0,1,1
"349","gui.2","B2",1,1,1
"350","gui.2","B5",1,0,0
"351","gui.2","B6",0,1,1
"352","gui.2","B7",0,1,1
"353","gui.2","D1",0,1,1
"354","gui.2","D2",0,1,1
"355","gui.2","D4",0,1,1
"356","gui.2","D5",1,1,1
"357","gui.2","D7",0,1,1
"358","heitor","A1",0,1,1
"359","heitor","A2",0,1,1
"360","heitor","A3",0,1,1
"361","heitor","A6",1,0,0
"362","heitor","B1",0,1,1
"363","heitor","B2",1,1,1
"364","heitor","B5",1,1,1
"365","heitor","B6",0,1,1
"366","heitor","B7",0,1,1
"367","heitor","D1",0,1,1
"368","heitor","D2",1,1,1
"369","heitor","D4",0,1,1
"370","heitor","D5",0,1,1
"371","heitor","D7",0,1,1
"372","heitor.2","A1",0,1,1
"373","heitor.2","A2",1,1,1
"374","heitor.2","A3",0,1,1
"375","heitor.2","A4",1,1,1
"376","heitor.2","A6",1,1,1
"377","heitor.2","B1",0,1,1
"378","heitor.2","B2",1,1,1
"379","heitor.2","B5",1,1,1
"380","heitor.2","B6",0,1,1
"381","heitor.2","B7",0,1,1
"382","heitor.2","D1",1,0,0
"383","heitor.2","D2",1,1,1
"384","heitor.2","D4",0,1,1
"385","heitor.2","D5",1,1,1
"386","heitor.2","D7",0,1,1
"387","heitorm","A1",0,1,1
"388","heitorm","A2",0,1,1
"389","heitorm","A3",0,1,1
"390","heitorm","A4",1,1,1
"391","heitorm","A6",0,1,1
"392","heitorm","B5",1,1,1
"393","heitorm","B6",0,1,1
"394","heitorm","B7",0,1,1
"395","heitorm","D1",0,1,1
"396","heitorm","D2",0,1,1
"397","heitorm","D4",0,1,1
"398","heitorm","D5",1,1,1
"399","heitorm","D7",0,1,1
"400","ingrid","A1",0,0,0
"401","ingrid","A3",0,0,0
"402","ingrid","A4",0,0,0
"403","ingrid","A6",0,0,0
"404","ingrid","B1",0,0,0
"405","ingrid","B5",0,0,0
"406","ingrid","B6",0,0,0
"407","ingrid","B7",0,0,0
"408","ingrid","D1",0,0,0
"409","ingrid","D2",0,0,0
"410","ingrid","D4",0,0,0
"411","ingrid","D5",0,0,0
"412","ingrid","D7",0,0,0
"413","ingrid.2","A1",0,1,1
"414","ingrid.2","A2",1,1,1
"415","ingrid.2","A3",0,1,1
"416","ingrid.2","A4",0,1,1
"417","ingrid.2","A6",0,1,1
"418","ingrid.2","B1",0,1,1
"419","ingrid.2","B2",1,1,1
"420","ingrid.2","B5",0,1,1
"421","ingrid.2","B6",0,1,1
"422","ingrid.2","B7",0,1,1
"423","ingrid.2","D1",0,1,1
"424","ingrid.2","D2",1,0,0
"425","ingrid.2","D5",1,1,1
"426","ingrid.2","D7",0,1,1
"427","isabela","A1",0,1,1
"428","isabela","A2",1,1,1
"429","isabela","A3",0,1,1
"430","isabela","A4",1,1,1
"431","isabela","A6",1,1,1
"432","isabela","B1",0,1,1
"433","isabela","B2",1,1,1
"434","isabela","B5",1,1,1
"435","isabela","B6",0,1,1
"436","isabela","B7",0,1,1
"437","isabela","D1",0,1,1
"438","isabela","D2",1,1,1
"439","isabela","D4",0,1,1
"440","isabela","D5",1,1,1
"441","isabela","D7",0,1,1
"442","isabelly","A1",0,1,1
"443","isabelly","A2",0,1,1
"444","isabelly","A3",0,1,1
"445","isabelly","B1",0,1,1
"446","isabelly","B2",0,1,1
"447","isabelly","B5",0,1,1
"448","isabelly","B6",0,1,1
"449","isabelly","B7",0,1,1
"450","isabelly","D2",0,1,1
"451","isabelly","D5",0,1,1
"452","isabelly","D7",0,1,1
"453","joaop","A1",0,1,1
"454","joaop","B2",1,1,1
"455","joaop","B5",0,1,1
"456","joaop","B6",0,1,1
"457","joaop","D2",1,1,1
"458","joaop","D7",0,1,1
"459","leonardo","A1",0,1,1
"460","leonardo","A2",1,1,1
"461","leonardo","A3",0,1,1
"462","leonardo","A4",0,1,1
"463","leonardo","A6",0,1,1
"464","leonardo","B1",0,1,1
"465","leonardo","B2",1,1,1
"466","leonardo","B5",1,1,1
"467","leonardo","B7",0,1,1
"468","leonardo","D1",0,1,1
"469","leonardo","D2",1,1,1
"470","leonardo","D4",0,1,1
"471","leonardo","D5",1,1,1
"472","leonardo","D7",0,1,1
"473","lis","A1",0,0,0
"474","lis","A2",0,1,1
"475","lis","A3",0,1,1
"476","lis","B1",0,0,0
"477","lis","B2",0,0,0
"478","lis","B5",0,0,0
"479","lis","B6",0,0,0
"480","lis","B7",0,0,0
"481","lis","D1",0,0,0
"482","lis","D2",0,0,0
"483","lis","D4",0,1,1
"484","lis","D7",0,1,1
"485","livia","A1",0,1,1
"486","livia","A2",0,0,0
"487","livia","A3",0,1,1
"488","livia","B1",0,1,1
"489","livia","D4",1,1,1
"490","livia","D7",0,0,0
"491","livia.2","A1",0,1,1
"492","livia.2","A2",0,1,1
"493","livia.2","A3",0,1,1
"494","livia.2","A4",0,1,1
