"","crianca","video","frente_fundo","fundo_frente","fundo_errado","errado_fundo","frente_errado","errado_frente","olhou_pro_errado","acerto_frente","indice_alternancia_rja","indice_alternancia_ija","indice_alternancia_objeto","total_acerto_frente","total_olhou_errado","fixation_acerto_frente","fixation_olhou_pro_errado","indice_acerto","condicao","pre_pos"
"63","asafe.2","A4",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"rja","1"
"64","asafe.2","A6",0,1,0,0,0,0,0,1,1,0,0,292,0,292,0,1,"ija","1"
"65","asafe.2","B2",0,0,0,0,0,0,1,0,0,0,0,0,524,0,524,-1,"ija","1"
"66","asafe.2","B5",0,0,0,0,0,0,0,1,0,0,0,672,0,406,0,1,"ija","1"
"67","asafe.2","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"68","asafe.2","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"69","asafe.2","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"70","asafe.2","D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","1"
"71","asafe.2","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"72","asafe.2","D5",0,1,0,0,0,0,0,1,1,0,0,362,0,362,0,1,"ija","1"
"73","ayla","A1",0,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,-1,"rja","0"
"74","ayla","A2",1,1,0,0,0,0,0,1,1,1,0,418,0,418,0,1,"ija","0"
"75","ayla","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"76","ayla","A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","0"
"77","ayla","B2",0,1,0,0,0,0,0,1,1,0,0,466,0,466,0,1,"ija","0"
"78","ayla","B5",1,1,0,0,0,0,0,1,1,1,0,576,0,576,0,1,"ija","0"
"79","ayla","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"80","ayla","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"81","ayla","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"82","ayla","D2",1,0,0,0,0,0,0,1,0,1,0,350,0,350,0,1,"ija","0"
"83","ayla","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"84","ayla","D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","0"
"85","ayla.2","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"86","ayla.2","A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","1"
"87","ayla.2","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"88","ayla.2","A6",0,1,0,0,0,0,0,1,1,0,0,250,0,250,0,1,"ija","1"
"89","ayla.2","B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","1"
