"","video_clip","RECORDING_SESSION_LABEL","TRIAL_INDEX","CURRENT_FIX_DURATION","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREAS","CURRENT_FIX_START","TRIAL_FIXATION_TOTAL","TRIAL_LABEL","VIDEO_NAME_END","VIDEO_NAME_START","ROIfundo","ROIfrente","anchor_time","correction_time","CRUZ_START.x","CRUZ_END.x","parte_trial","CRUZ_START.y","CRUZ_END.y","trial","Estímulo(referencia esq/dir - olhando para tela)","Roi cabeça(fundo)","ROI alvo (frente)","ROI Nalvo (frente)","acerto_fundo","acerto_frente","olhou_pro_errado"
"24","A1","anelise",11,244,7,"[ 3]",1222,15,"Trial: 11","A1.avi","A1.avi",3,NA,696,526,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"25","A1","anelise",11,170,8,"[ 3]",1482,15,"Trial: 11","A1.avi","A1.avi",3,NA,956,526,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"26","A1","anelise",11,264,9,"[ 3]",1676,15,"Trial: 11","A1.avi","A1.avi",3,NA,1150,526,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"27","A1","anelise",11,94,10,"[ 3]",1984,15,"Trial: 11","A1.avi","A1.avi",3,NA,1458,526,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"28","A1","anelise",11,1002,11,"[ 3]",3272,15,"Trial: 11","A1.avi","A1.avi",3,NA,2746,526,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"29","A1","anelise",11,1156,12,"[ 3]",5204,15,"Trial: 11","A1.avi","A1.avi",3,NA,4678,526,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"30","A1","anelise",11,176,13,"[ 3]",6402,15,"Trial: 11","A1.avi","A1.avi",3,NA,5876,526,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"31","A1","anelise",11,28,14,"[ 3]",6700,15,"Trial: 11","A1.avi","A1.avi",3,NA,6174,526,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"32","A1","anelise",11,52,15,"[ 3]",6772,15,"Trial: 11","A1.avi","A1.avi",3,NA,6246,526,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"33","A1","anili.2",11,614,1,"[ 4]",14,12,"Trial: 11","A1.avi",".",3,NA,0,14,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"34","A1","anili.2",11,650,2,"[ 3]",652,12,"Trial: 11","A1.avi","A1.avi",3,NA,638,14,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"35","A1","anili.2",11,778,3,"[ 3]",1318,12,"Trial: 11","A1.avi","A1.avi",3,NA,1304,14,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"36","A1","anili.2",11,216,4,"[ 3]",2114,12,"Trial: 11","A1.avi","A1.avi",3,NA,2100,14,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"37","A1","anili.2",11,254,5,"[ 3]",2346,12,"Trial: 11","A1.avi","A1.avi",3,NA,2332,14,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"38","A1","anili.2",11,138,6,"[ 6]",2676,12,"Trial: 11","A1.avi","A1.avi",6,8,2662,14,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","TRUE","FALSE"
"39","A1","anili.2",11,334,7,"[ 3]",2864,12,"Trial: 11","A1.avi","A1.avi",3,NA,2850,14,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"40","A1","anili.2",11,556,8,"[ 3]",3214,12,"Trial: 11","A1.avi","A1.avi",3,NA,3200,14,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"41","A1","anili.2",11,230,9,"[ 3]",3804,12,"Trial: 11","A1.avi","A1.avi",3,NA,3790,14,"3750","4250","cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"42","A1","anili.2",11,256,10,"[ 3]",4068,12,"Trial: 11","A1.avi","A1.avi",3,NA,4054,14,"3750","4250","cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"43","A1","anili.2",11,132,11,"[ 3]",4388,12,"Trial: 11","A1.avi","A1.avi",3,NA,4374,14,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"44","A1","anili.2",11,930,12,"[ 3]",4542,12,"Trial: 11","A1.avi","A1.avi",3,NA,4528,14,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"45","A1","anne",11,164,1,"[ ]",0,21,"Trial: 11","EstrelinhasR640x680.avi",".",NA,NA,-1306,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"46","A1","anne",11,36,2,"[ ]",634,21,"Trial: 11","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi",NA,NA,-672,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"47","A1","anne",11,114,3,"[ ]",756,21,"Trial: 11","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi",NA,NA,-550,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"48","A1","anne",11,62,4,"[ 2]",988,21,"Trial: 11","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi",1,NA,-318,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"49","A1","anne",11,210,5,"[ 1]",1080,21,"Trial: 11","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi",1,NA,-226,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"50","A1","anne",11,464,6,"[ 4]",1306,21,"Trial: 11","A1.avi","EstrelinhasR640x680.avi",4,7,0,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","TRUE"
"51","A1","anne",11,22,7,"[ 4]",1838,21,"Trial: 11","A1.avi","A1.avi",4,7,532,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","TRUE"
"52","A1","anne",11,452,8,"[ 4]",1994,21,"Trial: 11","A1.avi","A1.avi",4,NA,688,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"53","A1","anne",11,396,9,"[ 4]",2462,21,"Trial: 11","A1.avi","A1.avi",4,NA,1156,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"54","A1","anne",11,154,10,"[ 4]",2874,21,"Trial: 11","A1.avi","A1.avi",4,NA,1568,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"55","A1","anne",11,344,11,"[ 4]",3060,21,"Trial: 11","A1.avi","A1.avi",4,NA,1754,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"56","A1","anne",11,44,12,"[ 3]",3434,21,"Trial: 11","A1.avi","A1.avi",3,NA,2128,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"57","A1","anne",11,256,13,"[ 3]",3694,21,"Trial: 11","A1.avi","A1.avi",3,NA,2388,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"58","A1","anne",11,494,14,"[ ]",4100,21,"Trial: 11","A1.avi","A1.avi",NA,NA,2794,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"59","A1","anne",11,224,15,"[ ]",4630,21,"Trial: 11","A1.avi","A1.avi",NA,NA,3324,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
