"","trial","time","parte","video","roi_frente_empirico","roi_fundo_empirico","roi_alvo_fundo","roi_alvo_frente","roi_nao_alvo","acerto_frente","acerto_fundo","olhou_pro_errado"
"1",11,0,"pre_cruz","A1",7,4,3,8,7,"FALSE","FALSE","TRUE"
"2",11,406,"pre_cruz","A1",NA,NA,3,8,7,"FALSE","FALSE","FALSE"
"3",11,4053,"cruz","A1",NA,2,3,8,7,"FALSE","FALSE","FALSE"
"4",11,4202,"cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"5",11,4382,"pos_cruz","A1",NA,6,3,8,7,"FALSE","FALSE","FALSE"
"6",11,4582,"pos_cruz","A1",NA,6,3,8,7,"FALSE","FALSE","FALSE"
"7",11,5426,"pos_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"8",11,6008,"pos_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"9",11,6319,"pos_cruz","A1",NA,2,3,8,7,"FALSE","FALSE","FALSE"
"10",11,-242,"pre_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"11",11,0,"pre_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"12",11,4936,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"13",11,5410,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"14",11,0,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"15",11,502,"pre_cruz","A1",NA,5,3,8,7,"FALSE","FALSE","FALSE"
"16",11,713,"pre_cruz","A1",NA,5,3,8,7,"FALSE","FALSE","FALSE"
"17",11,3197,"pre_cruz","A1",NA,5,3,8,7,"FALSE","FALSE","FALSE"
"18",11,-514,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"19",11,-460,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"20",11,-256,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"21",11,0,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"22",11,394,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"23",11,462,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"24",11,696,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"25",11,956,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"26",11,1150,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"27",11,1458,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"28",11,2746,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"29",11,4678,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"30",11,5876,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"31",11,6174,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"32",11,6246,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"33",11,0,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"34",11,638,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"35",11,1304,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"36",11,2100,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"37",11,2332,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"38",11,2662,"pre_cruz","A1",8,6,3,8,7,"TRUE","FALSE","FALSE"
"39",11,2850,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"40",11,3200,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"41",11,3790,"cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"42",11,4054,"cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"43",11,4374,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"44",11,4528,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"45",11,-1306,"pre_cruz","A1",NA,NA,3,8,7,"FALSE","FALSE","FALSE"
"46",11,-672,"pre_cruz","A1",NA,NA,3,8,7,"FALSE","FALSE","FALSE"
"47",11,-550,"pre_cruz","A1",NA,NA,3,8,7,"FALSE","FALSE","FALSE"
"48",11,-318,"pre_cruz","A1",NA,1,3,8,7,"FALSE","FALSE","FALSE"
"49",11,-226,"pre_cruz","A1",NA,1,3,8,7,"FALSE","FALSE","FALSE"
"50",11,0,"pre_cruz","A1",7,4,3,8,7,"FALSE","FALSE","TRUE"
"51",11,532,"pre_cruz","A1",7,4,3,8,7,"FALSE","FALSE","TRUE"
"52",11,688,"pre_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"53",11,1156,"pre_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"54",11,1568,"pre_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"55",11,1754,"pre_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"56",11,2128,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"57",11,2388,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"58",11,2794,"pre_cruz","A1",NA,NA,3,8,7,"FALSE","FALSE","FALSE"
"59",11,3324,"pre_cruz","A1",NA,NA,3,8,7,"FALSE","FALSE","FALSE"
"60",11,3664,"pre_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"61",11,3838,"cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"62",11,4544,"pos_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"63",11,4904,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"64",11,6080,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"65",11,6176,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"66",11,0,"pre_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"67",11,0,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"68",11,712,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"69",11,1018,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"70",11,1440,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"71",11,2264,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"72",11,3468,"pre_cruz","A1",NA,NA,3,8,7,"FALSE","FALSE","FALSE"
"73",11,3642,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"74",11,3938,"cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"75",11,4096,"cruz","A1",NA,5,3,8,7,"FALSE","FALSE","FALSE"
"76",11,4174,"cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"77",11,4444,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"78",11,4908,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"79",11,0,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"80",11,790,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"81",11,1026,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"82",11,2210,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"83",11,4126,"cruz","A1",7,4,3,8,7,"FALSE","FALSE","TRUE"
"84",11,4434,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"85",11,4848,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"86",11,-428,"pre_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"87",11,-220,"pre_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
"88",11,0,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"89",11,608,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"90",11,2134,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"91",11,2338,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"92",11,2834,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"93",11,4176,"cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"94",11,6000,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"95",11,-4426,"pre_cruz","A1",NA,4,3,8,7,"FALSE","FALSE","FALSE"
